Date,Time,Open,High,Low,Close,Volume
2024-07-01,04:00:00,383.1900,383.9800,381.2100,382.0000,657
2024-07-01,04:05:00,382.6700,382.8000,382.5000,382.8000,153
2024-07-01,04:10:00,382.8000,382.8000,382.5000,382.5000,51
2024-07-01,04:15:00,382.5100,382.5100,382.4800,382.4800,25
2024-07-01,04:20:00,382.1400,382.1400,382.1400,382.1400,3
2024-07-01,04:25:00,382.1700,382.1700,382.0700,382.0700,200
2024-07-01,04:30:00,382.4300,382.6500,382.4300,382.6200,147
2024-07-01,04:35:00,382.4500,382.5300,382.4000,382.4000,6
2024-07-01,04:40:00,382.3000,382.3000,382.0000,382.0700,135
2024-07-01,04:45:00,382.0700,382.0700,382.0700,382.0700,25
2024-07-01,04:50:00,382.3100,382.3100,382.3100,382.3100,4
2024-07-01,05:05:00,382.1200,382.1200,382.0700,382.0700,15
2024-07-01,05:10:00,381.4000,381.4000,381.4000,381.4000,1
2024-07-01,05:15:00,381.9100,381.9100,381.9100,381.9100,1
2024-07-01,05:20:00,382.2900,382.2900,382.2900,382.2900,1
2024-07-01,05:30:00,382.0000,382.4500,382.0000,382.4500,37
2024-07-01,05:35:00,382.4500,382.4500,382.4500,382.4500,3
2024-07-01,05:40:00,382.2500,382.4500,382.0500,382.4300,9
2024-07-01,05:45:00,382.0500,382.0500,382.0000,382.0000,5
2024-07-01,05:50:00,382.0200,382.0200,382.0200,382.0200,1
2024-07-01,05:55:00,382.4300,382.4300,382.2000,382.3500,19
2024-07-01,06:00:00,382.3500,382.5500,382.1000,382.1000,67
2024-07-01,06:10:00,382.1200,382.1200,382.1200,382.1200,5
2024-07-01,06:20:00,382.1700,382.4000,382.1400,382.4000,35
2024-07-01,06:25:00,382.4000,382.4000,382.4000,382.4000,1
2024-07-01,06:35:00,382.4000,382.4000,382.4000,382.4000,1
2024-07-01,06:40:00,382.4200,382.4200,382.4200,382.4200,5
2024-07-01,06:45:00,382.9500,382.9500,382.9500,382.9500,4
2024-07-01,06:50:00,382.4000,382.4000,382.4000,382.4000,3
2024-07-01,06:55:00,382.8900,382.8900,382.4500,382.4500,4
2024-07-01,07:00:00,382.8600,382.9700,382.4500,382.8000,190
2024-07-01,07:05:00,382.8000,383.0000,382.7900,383.0000,120
2024-07-01,07:10:00,383.3000,383.3000,383.0300,383.0300,33
2024-07-01,07:15:00,383.0500,383.5500,383.0500,383.5500,165
2024-07-01,07:20:00,383.6700,383.9800,383.5500,383.9800,193
2024-07-01,07:25:00,383.9500,384.0000,383.6700,383.9600,332
2024-07-01,07:30:00,383.7500,383.9900,383.7500,383.9900,100
2024-07-01,07:35:00,383.9800,384.3600,383.9800,384.1800,210
2024-07-01,07:40:00,384.3600,384.4600,384.1600,384.1600,73
2024-07-01,07:45:00,384.3000,384.3000,384.0600,384.1700,79
2024-07-01,07:50:00,384.0600,384.0600,383.7600,384.0000,35
2024-07-01,07:55:00,384.2600,384.4600,384.2600,384.4600,4
2024-07-01,08:00:00,384.0000,386.4600,381.3000,385.0000,1573
2024-07-01,08:05:00,384.5200,386.2000,383.9280,384.9800,149
2024-07-01,08:10:00,384.7000,386.2000,384.7000,384.7400,53
2024-07-01,08:15:00,383.9820,386.2000,383.1900,384.9600,851
2024-07-01,08:20:00,384.9600,386.2000,384.8600,386.2000,66
2024-07-01,08:25:00,384.9600,385.4900,383.1900,385.4900,432
2024-07-01,08:30:00,384.9400,385.4900,384.2000,385.2500,111
2024-07-01,08:35:00,384.9600,384.9600,384.2600,384.5000,204
2024-07-01,08:40:00,384.6400,388.6100,384.2740,384.6000,280
2024-07-01,08:45:00,384.5700,385.1000,384.2100,384.2100,454
2024-07-01,08:50:00,385.1000,385.1000,384.5000,385.0000,219
2024-07-01,08:55:00,384.8400,385.0000,384.8300,384.8800,259
2024-07-01,09:00:00,384.9400,385.2500,384.9400,385.0600,564
2024-07-01,09:05:00,385.1400,385.1400,384.3600,384.3600,1432
2024-07-01,09:10:00,384.3700,384.3700,384.0800,384.2000,721
2024-07-01,09:15:00,384.2000,384.3300,383.5000,384.1700,169
2024-07-01,09:20:00,384.1500,384.6800,384.0000,384.0170,173
2024-07-01,09:25:00,384.5600,385.4700,384.0170,385.1600,729
2024-07-01,09:30:00,385.2800,385.7390,380.3200,380.6830,99914
2024-07-01,09:35:00,380.7540,381.6700,377.9200,380.9550,132512
2024-07-01,09:40:00,380.9700,382.7300,380.7100,382.1600,36702
2024-07-01,09:45:00,382.0200,382.1000,379.7000,381.2500,31736
2024-07-01,09:50:00,380.7500,380.8300,379.2600,379.6550,39235
2024-07-01,09:55:00,379.7500,380.8400,378.7400,380.7600,31979
2024-07-01,10:00:00,380.8100,382.9500,380.4600,382.8000,37534
2024-07-01,10:05:00,382.8050,384.0000,382.7800,383.3530,36926
2024-07-01,10:10:00,382.7800,383.3600,380.2600,380.6850,24945
2024-07-01,10:15:00,380.6200,383.5510,380.6000,383.5040,27121
2024-07-01,10:20:00,383.6200,384.9200,382.3400,384.0200,35959
2024-07-01,10:25:00,384.1700,385.4800,383.6900,385.2650,36591
2024-07-01,10:30:00,385.4900,385.8000,384.8100,385.2300,25191
2024-07-01,10:35:00,384.8300,385.4000,384.5290,384.7510,23578
2024-07-01,10:40:00,384.9500,385.7100,383.8800,384.9500,23812
2024-07-01,10:45:00,384.8800,385.7700,384.2900,384.3900,45253
2024-07-01,10:50:00,384.1950,384.3600,383.3800,383.4300,42891
2024-07-01,10:55:00,383.3500,384.2400,383.2800,383.6000,21671
2024-07-01,11:00:00,383.6100,384.1600,382.8200,384.0000,19271
2024-07-01,11:05:00,384.2000,384.2000,383.2500,383.3500,12069
2024-07-01,11:10:00,383.3400,385.4500,383.2730,385.4500,23965
2024-07-01,11:15:00,385.3060,385.4400,384.5400,384.7000,17343
2024-07-01,11:20:00,384.7000,385.0900,384.2600,384.5700,16186
2024-07-01,11:25:00,384.9000,385.9400,384.9000,385.6800,23469
2024-07-01,11:30:00,385.5600,386.8800,385.0900,386.8800,45455
