Date,Time,Open,High,Low,Close,Volume
2024-07-19,19:45:00,302.2020,302.4700,302.0000,302.4400,12452
2024-07-19,19:30:00,301.9900,316.7500,295.0000,302.2200,40467
2024-07-19,19:15:00,301.5700,302.2000,301.5700,302.2000,8713
2024-07-19,19:00:00,302.2500,302.4000,301.5000,301.9300,10239
2024-07-19,18:45:00,302.1900,302.4600,302.0000,302.4000,7688
2024-07-19,18:30:00,302.5200,311.8900,290.1000,302.1900,43557
2024-07-19,18:15:00,302.8500,304.9600,302.1200,302.5900,18385
2024-07-19,18:00:00,303.5100,303.5100,302.6100,302.8480,13015
2024-07-19,17:45:00,303.0640,304.9600,303.0500,303.5100,12697
2024-07-19,17:30:00,303.7900,303.7900,302.0000,303.4500,22728
2024-07-19,17:15:00,304.0400,304.7800,303.4000,303.7900,21282
2024-07-19,17:00:00,304.4400,305.0000,293.0000,304.6700,45140
2024-07-19,16:45:00,305.0220,305.9500,304.0000,304.6900,21876
2024-07-19,16:30:00,305.5000,305.8900,304.6000,305.3100,24737
2024-07-19,16:15:00,306.4300,306.4300,304.9600,305.8000,26470
2024-07-19,16:00:00,305.0000,307.5700,294.9500,306.4300,736048
2024-07-19,15:45:00,304.2820,306.3080,303.5100,305.0000,1503645
2024-07-19,15:30:00,308.6200,309.2410,303.6600,304.3000,1483937
2024-07-19,15:15:00,302.4300,308.6500,302.1110,308.6500,1440419
2024-07-19,15:00:00,298.7740,302.5000,297.5000,302.3300,1329840
2024-07-19,14:45:00,301.5550,301.7700,298.4000,298.8700,1222678
2024-07-19,14:30:00,301.7050,302.3000,300.5000,301.5570,594976
2024-07-19,14:15:00,303.9800,304.4400,301.5500,301.7050,664713
2024-07-19,14:00:00,302.4100,304.3200,301.7600,303.9400,678717
2024-07-19,13:45:00,303.2110,303.7600,300.2200,302.2800,845125
2024-07-19,13:30:00,303.1500,304.4000,300.9600,303.2200,911676
2024-07-19,13:15:00,305.6400,305.8200,303.0000,303.3300,618708
2024-07-19,13:00:00,307.0350,308.4400,304.7900,305.5800,591895
2024-07-19,12:45:00,305.1300,307.3000,302.5900,307.0250,1022463
2024-07-19,12:30:00,307.6150,308.4900,303.3450,305.2100,1434287
2024-07-19,12:15:00,313.0600,313.1300,306.8200,307.6500,992782
2024-07-19,12:00:00,311.3500,313.8300,310.2900,313.0100,781270
2024-07-19,11:45:00,310.4600,312.8800,308.5000,311.4200,786291
2024-07-19,11:30:00,313.6000,313.6560,309.8000,310.3150,1011051
2024-07-19,11:15:00,313.4800,316.5000,313.2000,313.6000,809268
2024-07-19,11:00:00,312.7300,316.7500,312.6420,313.4800,1347960
2024-07-19,10:45:00,310.6790,314.7400,310.5000,312.7760,1433818
2024-07-19,10:30:00,307.5390,311.5900,298.5000,310.5900,1330561
2024-07-19,10:15:00,310.9590,313.6800,306.5000,307.8220,1701962
2024-07-19,10:00:00,310.7100,314.7500,308.2100,310.8330,1968160
